PerformanceID,EmployeeID,ReviewDate,EnvironmentSatisfaction,JobSatisfaction,RelationshipSatisfaction,TrainingOpportunitiesWithinYear,TrainingOpportunitiesTaken,WorkLifeBalance,SelfRating,ManagerRating
PERF2000,EMP1699,2024-08-30,1,3,3,2,4,3,1,5
PERF2001,EMP1797,2023-07-25,2,5,2,3,2,3,2,2
PERF2002,EMP1735,2024-06-10,3,1,2,0,5,3,1,5
PERF2003,EMP2082,2024-05-20,4,2,2,3,3,3,5,4
PERF2004,EMP2255,2022-09-23,4,1,4,4,4,2,2,2
PERF2005,EMP1255,2024-05-18,5,4,2,0,5,2,2,4
PERF2006,EMP1743,2024-08-02,4,1,3,0,3,4,5,2
PERF2007,EMP1511,2024-02-09,1,3,3,1,1,4,2,2
PERF2008,EMP1675,2022-09-03,2,2,4,1,5,5,5,5
PERF2009,EMP1449,2022-07-01,4,1,4,2,3,4,4,5
PERF2010,EMP2438,2024-01-14,1,2,2,3,4,4,5,3
PERF2011,EMP2439,2022-05-20,3,1,2,4,1,4,5,1
PERF2012,EMP1443,2023-01-30,1,4,3,0,0,2,1,3
PERF2013,EMP1250,2024-01-20,5,3,1,5,4,3,5,3
PERF2014,EMP1345,2022-06-14,1,2,2,3,1,2,2,1
PERF2015,EMP1954,2024-06-20,2,3,5,3,0,5,1,2
PERF2016,EMP1282,2023-12-17,4,2,5,0,0,1,1,1
PERF2017,EMP2410,2022-04-06,4,1,1,1,4,1,5,2
PERF2018,EMP2168,2023-12-13,5,5,1,0,1,1,4,5
PERF2019,EMP2454,2022-05-17,4,1,4,4,2,3,2,3
PERF2020,EMP1263,2024-10-12,4,4,4,1,4,2,4,2
PERF2021,EMP2030,2024-05-23,1,4,4,0,0,4,1,1
PERF2022,EMP1351,2024-04-05,4,3,4,2,2,2,5,3
PERF2023,EMP2228,2023-06-01,4,3,4,4,1,3,3,2
PERF2024,EMP1785,2023-12-02,2,4,2,0,1,4,5,3
PERF2025,EMP2152,2024-09-19,1,4,4,0,5,1,4,4
PERF2026,EMP1585,2023-09-16,1,4,5,1,0,5,2,4
PERF2027,EMP1140,2024-08-15,5,4,4,2,1,5,3,5
PERF2028,EMP1570,2023-03-22,5,5,5,1,3,4,1,3
PERF2029,EMP1848,2023-12-07,3,2,4,2,2,3,2,4
PERF2030,EMP2242,2022-08-17,3,3,1,4,3,1,5,5
PERF2031,EMP1924,2022-02-21,2,3,4,3,4,4,5,5
PERF2032,EMP1767,2022-12-01,1,1,5,0,1,4,3,5
PERF2033,EMP1841,2024-08-10,2,1,4,4,4,2,5,4
PERF2034,EMP1126,2023-05-08,4,4,3,0,3,4,4,1
PERF2035,EMP2349,2023-09-22,4,2,4,2,4,5,3,5
PERF2036,EMP1359,2024-03-30,5,3,1,5,3,1,4,2
PERF2037,EMP1194,2023-11-12,1,3,4,5,2,3,4,1
PERF2038,EMP1994,2024-10-28,4,1,1,5,5,4,5,1
PERF2039,EMP1609,2023-12-11,5,1,5,4,5,3,2,5
PERF2040,EMP2474,2022-08-05,4,1,3,3,3,1,1,5
PERF2041,EMP2013,2022-06-10,4,1,5,5,0,1,1,5
PERF2042,EMP1211,2022-01-09,4,2,2,3,5,5,1,1
PERF2043,EMP2116,2023-10-18,2,2,3,0,5,3,4,3
PERF2044,EMP2124,2024-08-16,5,3,5,1,3,3,3,1
PERF2045,EMP2487,2022-02-02,1,3,3,5,1,2,1,4
PERF2046,EMP1459,2023-09-07,1,2,3,3,4,3,3,2
PERF2047,EMP1045,2022-05-11,5,1,2,5,4,4,3,1
PERF2048,EMP1035,2023-03-07,1,4,4,3,3,3,4,2
PERF2049,EMP1303,2024-07-05,4,5,5,3,3,4,5,3
PERF2050,EMP1841,2024-01-25,3,4,3,3,3,3,3,5
PERF2051,EMP1257,2024-04-10,4,3,1,0,3,4,3,5
PERF2052,EMP1988,2024-09-06,1,2,3,5,5,3,2,3
PERF2053,EMP1403,2023-02-13,1,4,1,1,0,4,4,5
PERF2054,EMP2200,2023-08-06,2,1,1,2,2,5,1,1
PERF2055,EMP2342,2023-01-22,5,2,1,1,5,5,1,2
PERF2056,EMP1978,2023-11-05,1,1,4,1,0,4,2,3
PERF2057,EMP2412,2024-02-20,4,4,1,2,2,3,4,2
PERF2058,EMP2263,2024-05-21,2,5,5,4,1,1,4,4
PERF2059,EMP2205,2024-10-24,2,4,4,4,4,1,4,2
PERF2060,EMP2224,2024-01-11,5,4,3,0,4,5,2,1
PERF2061,EMP1943,2024-04-30,5,4,5,0,1,4,1,2
PERF2062,EMP1409,2022-04-12,2,4,2,5,4,5,4,1
PERF2063,EMP1836,2023-10-10,4,1,5,4,0,3,4,2
PERF2064,EMP2228,2023-03-20,4,4,3,1,4,4,2,3
PERF2065,EMP1575,2024-08-11,3,1,4,2,0,5,2,5
PERF2066,EMP1402,2024-06-01,4,3,2,1,0,3,3,5
PERF2067,EMP2139,2023-04-10,5,1,2,0,2,1,3,4
PERF2068,EMP2420,2023-12-19,4,4,5,2,5,5,1,4
PERF2069,EMP1051,2023-02-20,2,3,5,2,5,5,4,1
PERF2070,EMP1488,2023-09-29,5,1,3,0,5,1,4,3
PERF2071,EMP2142,2024-08-10,1,4,3,1,4,2,1,5
PERF2072,EMP2474,2022-10-16,1,5,1,4,1,5,1,1
PERF2073,EMP2442,2022-10-01,2,5,4,0,3,5,5,3
